"first_name","last_name","staff_id","amount"
"Jon","Stephens",2,"11.99"
"Jon","Stephens",2,"11.99"
"Mike","Hillyer",1,"11.99"
"Jon","Stephens",2,"11.99"
"Mike","Hillyer",1,"11.99"
"Jon","Stephens",2,"11.99"
"Jon","Stephens",2,"11.99"
"Jon","Stephens",2,"11.99"
"Mike","Hillyer",1,"10.99"
"Jon","Stephens",2,"10.99"
"Mike","Hillyer",1,"10.99"
"Mike","Hillyer",1,"10.99"
"Mike","Hillyer",1,"10.99"
"Mike","Hillyer",1,"10.99"
"Mike","Hillyer",1,"10.99"
"Jon","Stephens",2,"10.99"
"Mike","Hillyer",1,"10.99"
"Mike","Hillyer",1,"10.99"
"Mike","Hillyer",1,"10.99"
"Jon","Stephens",2,"10.99"
